FECHA,HORA,Unnamed: 2,Unnamed: 3,HORA (HHMM),Unnamed: 2,Unnamed: 3,HORA (HHMM),Registros validados,Registros preliminares,Registros no validados
190430,,,,0.0,"4,96267",,0.0,29.0,,
190501,,,,0.0,"6,55858",,0.0,54.0,,
190502,,,,0.0,"3,77683",,0.0,46.0,,
190503,,,,0.0,"2,98958",,0.0,101.0,,
190504,,,,0.0,"3,535",,0.0,63.0,,
190505,,,,0.0,"8,14417",,0.0,24.0,,
190506,,,,0.0,"6,11233",,0.0,44.0,,
190507,,,,0.0,"6,81133",,0.0,65.0,,
190508,,,,0.0,"4,98867",,0.0,132.0,,
190509,,,,0.0,"7,02667",,0.0,51.0,,
190510,,,,0.0,"6,93908",,0.0,30.0,,
190511,,,,0.0,"11,4758",,0.0,15.0,,
190512,,,,0.0,"12,6475",,0.0,23.0,,
190513,,,,0.0,"5,46002",,0.0,57.0,,
190514,,,,0.0,"1,30608",,0.0,81.0,,
190515,,,,0.0,"7,023",,0.0,,,55.0
190516,,,,0.0,"7,56983",,0.0,,,
190517,,,,0.0,"6,03842",,0.0,,15.0,
190518,,,,0.0,"4,42392",,0.0,,9.0,
190519,,,,0.0,"4,8385",,0.0,,12.0,
190520,,,,0.0,"1,44183",,0.0,,11.0,
190521,,,,0.0,"2,0925",,0.0,,7.0,
190522,,,,0.0,"4,249",,0.0,,8.0,
190523,,,,0.0,"6,82875",,0.0,,,7.0
190524,,,,0.0,"6,77367",,0.0,,,
190525,,,,0.0,"7,26325",,0.0,38.0,,
190526,,,,0.0,"3,35717",,0.0,54.0,,
190527,,,,0.0,"3,8385",,0.0,96.0,,
190528,,,,0.0,"2,43825",,0.0,140.0,,
190529,,,,0.0,"-2,04008",,0.0,135.0,,
190530,,,,0.0,"-0,577",,0.0,98.0,,
190531,,,,0.0,"1,63183",,0.0,126.0,,
190601,,,,0.0,"0,722007",,0.0,159.0,,
190602,,,,0.0,"1,90476",,0.0,102.0,,
190603,,,,0.0,"2,51133",,0.0,151.0,,
190604,,,,0.0,"8,45792",,0.0,113.0,,
190605,,,,0.0,"5,90492",,0.0,87.0,,
190606,,,,0.0,"4,05722",,0.0,38.0,,
190607,,,,0.0,"5,63475",,0.0,26.0,,
190608,,,,0.0,"6,53133",,0.0,63.0,,
190609,,,,0.0,"2,41625",,0.0,48.0,,
190610,,,,0.0,"1,54328",,0.0,56.0,,
190611,,,,0.0,"2,6905",,0.0,61.0,,
190612,,,,0.0,"0,5385",,0.0,123.0,,
190613,,,,0.0,"2,38075",,0.0,71.0,,
190614,,,,0.0,"0,495682",,0.0,82.0,,
190615,,,,0.0,"1,28725",,0.0,82.0,,
190616,,,,0.0,"-1,142",,0.0,80.0,,
190617,,,,0.0,"-2,75983",,0.0,109.0,,
190618,,,,0.0,"-3,63525",,0.0,88.0,,
190619,,,,0.0,"5,50017",,0.0,72.0,,
190620,,,,0.0,"5,38967",,0.0,164.0,,
190621,,,,0.0,"6,95167",,0.0,83.0,,
190622,,,,0.0,"7,91958",,0.0,47.0,,
190623,,,,0.0,"3,09308",,0.0,53.0,,
190624,,,,0.0,"2,48108",,0.0,43.0,,
190625,,,,0.0,"2,33458",,0.0,42.0,,
190626,,,,0.0,"3,1535",,0.0,54.0,,
190627,,,,0.0,"1,69358",,0.0,132.0,,
190628,,,,0.0,"-4,40075",,0.0,138.0,,
190629,,,,0.0,"-0,560583",,0.0,91.0,,
190630,,,,0.0,"-0,469333",,0.0,75.0,,
190701,,,,0.0,"2,66692",,0.0,55.0,,
190702,,,,0.0,"2,37192",,0.0,81.0,,
190703,,,,0.0,"0,753333",,0.0,111.0,,
190704,,,,0.0,"-0,930417",,0.0,182.0,,
190705,,,,0.0,"2,67375",,0.0,33.0,,
190706,,,,0.0,"5,03175",,0.0,138.0,,
190707,,,,0.0,"1,93425",,0.0,259.0,,
190708,,,,0.0,"3,96275",,0.0,164.0,,
190709,,,,0.0,"3,0195",,0.0,216.0,,
190710,,,,0.0,"2,73533",,0.0,142.0,,
190711,,,,0.0,"2,16975",,0.0,199.0,,
190712,,,,0.0,"0,577333",,0.0,214.0,,
190713,,,,0.0,"1,856",,0.0,175.0,,
190714,,,,0.0,"1,11125",,0.0,95.0,,
190715,,,,0.0,"5,61442",,0.0,53.0,,
190716,,,,0.0,"4,94083",,0.0,106.0,,
190717,,,,0.0,"-0,503583",,0.0,108.0,,
190718,,,,0.0,"2,63942",,0.0,54.0,,
190719,,,,0.0,"1,8435",,0.0,49.0,,
190720,,,,0.0,"0,0329167",,0.0,79.0,,
190721,,,,0.0,"-2,77733",,0.0,64.0,,
190722,,,,0.0,"0,709667",,0.0,44.0,,
190723,,,,0.0,"2,91058",,0.0,47.0,,
190724,,,,0.0,"3,47533",,0.0,43.0,,
190725,,,,0.0,"3,1775",,0.0,85.0,,
190726,,,,0.0,"4,3205",,0.0,35.0,,
190727,,,,0.0,"3,68675",,0.0,70.0,,
190728,,,,0.0,"-1,52542",,0.0,126.0,,
190729,,,,0.0,"1,864",,0.0,156.0,,
190730,,,,0.0,"3,941",,0.0,66.0,,
190731,,,,0.0,"4,19983",,0.0,69.0,,
190801,,,,0.0,"2,71493",,0.0,45.0,,
190802,,,,0.0,"4,35025",,0.0,31.0,,
