FECHA (YYMMDD),HORA (HHMM),Unnamed: 2,Unnamed: 3
220110,1700,"16,8992",
220110,1800,"15,9992",
220110,1900,"15,3292",
220110,2000,"14,9083",
220110,2100,"14,63",
220110,2200,"13,9508",
220110,2300,"13,3025",
220111,0,"12,6342",
220111,100,"12,0817",
220111,200,"11,9558",
220111,300,"11,4042",
220111,400,"11,275",
220111,500,"11,3267",
220111,600,"11,68",
220111,700,"12,6208",
220111,800,"14,1025",
220111,900,"15,2233",
220111,1000,"15,86",
220111,1100,"17,1875",
220111,1200,"18,72",
220111,1300,"19,5092",
220111,1400,"19,015",
220111,1500,"20,2867",
220111,1600,"20,5958",
220111,1700,"20,0533",
220111,1800,"19,1933",
220111,1900,"17,78",
220111,2000,"15,6367",
220111,2100,"14,8392",
220111,2200,"14,5917",
220111,2300,"14,4167",
220112,0,"14,2033",
220112,100,"13,7833",
220112,200,"13,615",
220112,300,"13,3933",
220112,400,"13,1858",
220112,500,"12,9925",
220112,600,"13,8817",
220112,700,"14,3783",
220112,800,"15,75",
220112,900,"17,2333",
220112,1000,"18,2517",
220112,1100,"19,495",
220112,1200,"20,3808",
220112,1300,"20,935",
220112,1400,"21,1983",
220112,1500,"21,0142",
220112,1600,"20,8667",
220112,1700,"20,4583",
220112,1800,"20,0592",
220112,1900,"18,3675",
220112,2000,"16,07",
220112,2100,"14,9517",
220112,2200,"14,1833",
220112,2300,"13,3783",
220113,0,"12,5933",
220113,100,"12,1258",
220113,200,"11,4642",
220113,300,"10,3275",
220113,400,"9,91417",
220113,500,"10,6533",
220113,600,"11,5867",
220113,700,"13,805",
220113,800,"15,275",
220113,900,"15,2725",
220113,1000,"16,2242",
220113,1100,"17,6642",
220113,1200,"18,1408",
220113,1300,"17,9333",
220113,1400,"18,03",
220113,1500,"16,8017",
220113,1600,"16,7367",
220113,1700,"16,1683",
220113,1800,"16,0217",
220113,1900,"15,6333",
220113,2000,"14,4258",
220113,2100,"14,0208",
220113,2200,"12,8",
220113,2300,"12,76",
220114,0,"12,9667",
220114,100,"12,6475",
220114,200,"12,1708",
220114,300,"11,7617",
220114,400,"11,6583",
220114,500,"11,7483",
220114,600,"12,0317",
220114,700,"12,8075",
220114,800,"14,5858",
220114,900,"15,62",
220114,1000,"16,6933",
220114,1100,"17,6075",
220114,1200,"18,3867",
220114,1300,"19,4",
220114,1400,"19,6875",
220114,1500,"19,3708",
220114,1600,"18,7367",
220114,1700,"17,8425",
220114,1800,"16,7725",
220114,1900,"15,0642",
220114,2000,"13,4817",
220114,2100,"12,1217",
220114,2200,"11,1367",
220114,2300,"10,3342",
220115,0,"10,0467",
220115,100,"9,35419",
220115,200,"8,62668",
220115,300,"8,51669",
220115,400,"8,42169",
220115,500,"8,68335",
220115,600,"9,22919",
220115,700,"9,31584",
220115,800,"10,5433",
220115,900,"11,8967",
220115,1000,"10,3458",
220115,1100,"9,39583",
220115,1200,"9,40668",
